Arsenal, 1886, UEFA Champions League, English Premier League, Emirates Stadium, Mikel Arteta
Aston Villa, 1874, null, English Premier League, Villa Park, Ron Vlaar
Burnley, 1882, null, English Premier League, Turf Moor, Jason Shackell
Chelsea, 1905, UEFA Champions League, English Premier League, Stamford Bridge, John Terry
Crystal Palace, 1905, null, English Premier League, Selhurst Park, Mile Jedinak
Everton, 1878, UEFA Europa League, English Premier League, Goodison Park, Phil Jagielka
Hull City, 1904, UEFA Europa League, English Premier League, KC Stadium, Curtis Davies
Leicester City, 1884, null, English Premier League, King Power Stadium, Wes Morgan
Liverpool, 1892, UEFA Champions League, English Premier League, Anfield, Steven Gerrard
Manchester City, 1880, UEFA Champions League, English Premier League, City of Manchester Stadium, Vincent Kompany
Manchester United, 1878, null, English Premier League, Old Trafford, Wayne Rooney
Newcastle United, 1892, null, English Premier League, St James' Park, Fabricio Coloccini
Queens Park Rangers, 1882, null, English Premier League, Loftus Road Stadium, Joey Barton
Southampton, 1885, null, English Premier League, St Mary's Stadium, Kelvin Davis
Stoke City, 1863, null, English Premier League, Britannia Stadium, Ryan Shawcross
Sunderland, 1879, null, English Premier League, Stadium of Light, null
Swansea City, 1912, null, English Premier League, Liberty Stadium, Ashley Williams
Tottenham Hotspur, 1882, UEFA Europa League, English Premier League, White Hart Lane, Younès Kaboul
West Bromwich Albion, 1878, null, English Premier League, The Hawthorns, Darren Fletcher
West Ham United, 1895, null, English Premier League, The Boleyn Ground, Kevin Nolan
Birmingham City, 1875, null, English Football League Championship, St Andrew's Stadium, Paul Robinson
Blackburn Rovers, 1875, null, English Football League Championship, Ewood Park, Grant Hanley
Blackpool, 1887, null, English Football League Championship, Bloomfield Road, Tony McMahon
Bolton Wanderers, 1874, null, English Football League Championship, Macron Stadium, Matt Mills
Bournemouth, 1890, null, English Football League Championship, Goldsands Stadium, Tommy Elphick
Brentford, 1889, null, English Football League Championship, Griffin Park, Kevin O'Connor
Brighton, 1901, null, English Football League Championship, The Amex, Gordon Greer
Cardiff City, 1899, null, English Football League Championship, Cardiff City Stadium, David Marshall
Charlton Athletic, 1905, null, English Football League Championship, The Valley, Johnnie Jackson
Derby County, 1884, null, English Football League Championship, iPro Stadium, Shaun Barker
Fulham, 1879, null, English Football League Championship, Craven Cottage, Scott Parker
Huddersfield Town, 1908, null, English Football League Championship, John Smith's Stadium, Mark Hudson
Ipswich Town, 1878, null, English Football League Championship, Portman Road, Luke Chambers
Leeds United, 1919, null, English Football League Championship, Elland Road, Liam Cooper
Middlesbrough, 1876, null, English Football League Championship, Riverside Stadium, Jonathan Woodgate
Millwall, 1885, null, English Football League Championship, The Den, Alan Dunne
Norwich City, 1902, null, English Football League Championship, Carrow Road, Russell Martin
Nottingham Forest, 1865, null, English Football League Championship, City Ground, Chris Cohen
Reading, 1871, null, English Football League Championship, Madejski Stadium, Jem Karacan
Rotherham United, 1925, null, English Football League Championship, New York Stadium, Craig Morgan
Sheffield Wednesday, 1867, null, English Football League Championship, Hillsborough, Glenn Loovens
Watford, 1881, null, English Football League Championship, Vicarage Road, Troy Deeney
Wigan Athletic, 1932, null, English Football League Championship, DW Stadium, Emmerson Boyce
Wolverhampton Wanderers, 1877, null, English Football League Championship, Molineux, Sam Ricketts
Almería, 1989, null, Spanish La Liga, Estadio de los Juegos Mediterráneos, Corona
Athletic Bilbao, 1898, UEFA Champions League, Spanish La Liga, San Mamés, Carlos Gurpegi
Atlético Madrid, 1903, UEFA Champions League, Spanish La Liga, Vicente Calderón, Gabi
Barcelona, 1899, UEFA Champions League, Spanish La Liga, Camp Nou, Xavi Hernández
Celta, 1923, null, Spanish La Liga, Balaídos, Borja Oubiña
Córdoba, 1954, null, Spanish La Liga, Nuevo Arcángel, Abel
Deportivo, 1906, null, Spanish La Liga, Riazor, Manuel Pablo
Eibar, 1940, null, Spanish La Liga, Ipurúa, Txema Añibarro
Elche, 1923, null, Spanish La Liga, Martínez Valero, Edu Albácar
Espanyol, 1900, null, Spanish La Liga, Power8 Stadium, Sergio García
Getafe, 1983, null, Spanish La Liga, Coliseum Alfonso Pérez, null
Granada, 1931, null, Spanish La Liga, Nuevo Los Cármenes, Diego Mainz
Levante, 1909, null, Spanish La Liga, Ciutat de València, Juanfran
Málaga, 1904, null, Spanish La Liga, La Rosaleda, Duda
Rayo Vallecano, 1924, null, Spanish La Liga, Campo de Vallecas, David Cobeño
Real Madrid, 1902, UEFA Champions League, Spanish La Liga, Santiago Bernabéu, Iker Casillas
Real Sociedad, 1909, UEFA Europa League, Spanish La Liga, Anoeta, Xabi Prieto
Sevilla, 1890, UEFA Europa League, Spanish La Liga, Ramón Sánchez Pizjuán, Fernando Navarro
Valencia, 1919, null, Spanish La Liga, Mestalla, Dani Parejo
Villarreal, 1923, UEFA Europa League, Spanish La Liga, El Madrigal, Bruno Soriano
Atalanta, 1907, null, Italian Serie A, Stadio Atleti Azzurri d'Italia, Gianpaolo Bellini
Cagliari, 1920, null, Italian Serie A, Stadio Sant'Elia, Daniele Conti
Cesena, 1940, null, Italian Serie A, Stadio Dino Manuzzi, null
Chievo, 1929, null, Italian Serie A, Stadio Marcantonio Bentegodi, Sergio Pellissier
Empoli, 1920, null, Italian Serie A, Stadio Carlo Castellani, null
Fiorentina, 1926, UEFA Europa League, Italian Serie A, Stadio Artemio Franchi, Manuel Pasqual
Genoa, 1893, null, Italian Serie A, Stadio Luigi Ferraris, null
Internazionale, 1908, UEFA Europa League, Italian Serie A, Giuseppe Meazza, Andrea Ranocchia
Juventus, 1897, UEFA Champions League, Italian Serie A, Juventus Stadium, Gianluigi Buffon
Lazio, 1900, null, Italian Serie A, Stadio Olimpico (Rome), Stefano Mauri
Milan, 1899, null, Italian Serie A, San Siro, Riccardo Montolivo
Napoli, 1926, UEFA Champions League, Italian Serie A, Stadio San Paolo, Marek Hamšík
Palermo, 1900, null, Italian Serie A, Stadio Renzo Barbera, Édgar Barreto
Parma, 1913, null, Italian Serie A, Stadio Ennio Tardini, Alessandro Lucarelli
Roma, 1927, UEFA Champions League, Italian Serie A, Stadio Olimpico (Rome), Francesco Totti
Sampdoria, 1946, null, Italian Serie A, Stadio Luigi Ferraris, Angelo Palombo
Sassuolo, 1922, null, Italian Serie A, Mapei Stadium – Città del Tricolore, Francesco Magnanelli
Torino, 1906, UEFA Europa League, Italian Serie A, Stadio Olimpico (Turin), Kamil Glik
Udinese, 1896, null, Italian Serie A, Stadio Friuli, Antonio Di Natale
Verona, 1903, null, Italian Serie A, Stadio Marcantonio Bentegodi, Rafael
Augsburg, 1907, null, German Bundesliga, SGL arena, Paul Verhaegh
Bayern Munich, 1900, UEFA Champions League, German Bundesliga, Allianz Arena, Philipp Lahm
Dortmund, 1909, UEFA Champions League, German Bundesliga, Signal Iduna Park, Mats Hummels
Frankfurt, 1899, null, German Bundesliga, Commerzbank-Arena, null
Freiburg, 1904, null, German Bundesliga, MAGE SOLAR Stadion, Julian Schuster
Hamburger, 1887, null, German Bundesliga, Imtech Arena, Rafael van der Vaart
Hannover 96, 1896, null, German Bundesliga, HDI-Arena, null
Hertha Berlin, 1892, null, German Bundesliga, Olympiastadion, Fabian Lustenberger
Hoffenheim, 1899, null, German Bundesliga, Rhein-Neckar Arena, Andreas Beck
Köln, 1948, null, German Bundesliga, RheinEnergieStadion, Mišo Brečko
Leverkusen, 1904, UEFA Champions League, German Bundesliga, BayArena, Simon Rolfes
Mainz, 1905, UEFA Europa League, German Bundesliga, Coface Arena, Nikolče Noveski
Mönchengladbach, 1900, UEFA Europa League, German Bundesliga, Stadion im Borussia-Park, Filip Daems
Paderborn, 1905, null, German Bundesliga, Benteler Arena, Uwe Hünemeier
Schalke 04, 1904, UEFA Champions League, German Bundesliga, Veltins-Arena, Benedikt Höwedes
Stuttgart, 1893, null, German Bundesliga, Mercedes-Benz Arena, Christian Gentner
Werder Bremen, 1899, null, German Bundesliga, Weserstadion, Clemens Fritz
Wolfsburg, 1945, UEFA Europa League, German Bundesliga, Volkswagen Arena, Diego Benaglio
Bastia, 1905, null, French Ligue 1, Stade Armand Cesari, Yannick Cahuzac
Bordeaux, 1881, null, French Ligue 1, Stade Chaban-Delmas, Ludovic Sané
Caen, 1913, null, French Ligue 1, Stade Michel d'Ornano, null
Evian, 2003, null, French Ligue 1, Parc des Sports, Olivier Sorlin
Guingamp, 1912, UEFA Europa League, French Ligue 1, Stade du Roudourou, Lionel Mathis
Lens, 1906, null, French Ligue 1, Stade de la Licorne, Jérôme Lemoigne
Lille, 1944, UEFA Champions League, French Ligue 1, Stade Pierre-Mauroy, Rio Mavuba
Lorient, 1926, null, French Ligue 1, Stade du Moustoir, null
Lyon, 1899, UEFA Europa League, French Ligue 1, Stade de Gerland, Maxime Gonalons
Marseille, 1899, null, French Ligue 1, Stade Vélodrome, Steve Mandanda
Metz, 1932, null, French Ligue 1, Stade Saint-Symphorien, null
Monaco, 1924, UEFA Champions League, French Ligue 1, Stade Louis II, Jérémy Toulalan
Montpellier, 1974, null, French Ligue 1, Stade de la Mosson, Vitorino Hilton
Nantes, 1943, null, French Ligue 1, Stade de la Beaujoire, Olivier Veigneau
Nice, 1904, null, French Ligue 1, Allianz Riviera, Didier Digard
Paris Saint-Germain, 1970, UEFA Champions League, French Ligue 1, Parc des Princes, Thiago Silva
Reims, 1931, null, French Ligue 1, Stade Auguste Delaune, Mickaël Tacalfred
Rennes, 1901, null, French Ligue 1, Route de Lorient, Romain Danzé
Saint-Étienne, 1933, UEFA Europa League, French Ligue 1, Stade Geoffroy-Guichard, Loïc Perrin
Toulouse, 1970, null, French Ligue 1, Stadium Municipal, Abel Aguilar
